"mass","length","pop"
260.683181420993,63.315503874328,"1"
214.807546968018,56.8940358108375,"1"
217.208948079162,57.8553963673767,"1"
205.790210705968,57.4608064128552,"1"
243.713947357476,64.5071130932774,"1"
213.067718301797,57.6063039700966,"1"
246.646747033072,67.4600074870978,"1"
173.871014958844,48.1963170331437,"1"
246.810463618892,61.1168020451441,"1"
194.893821603752,59.2382763617206,"1"
213.308051201398,55.8829139266163,"1"
244.901406163379,68.8081619841978,"1"
245.719733195707,61.3589382253122,"1"
172.715558377996,45.5958913650829,"1"
218.612717861262,56.7030718771275,"1"
260.310990803959,66.4335788972676,"1"
163.389084971485,54.126506926259,"1"
173.503537660498,54.139373752987,"1"
313.079658053169,63.9676904759835,"1"
132.830742081302,47.6894837792497,"1"
197.946918804993,53.6541125783697,"1"
243.893251261869,65.3663828782737,"1"
180.518383579369,45.9906257037073,"1"
238.812752917387,62.882923030993,"1"
141.960323952435,53.4222692414187,"1"
319.552763243243,67.9600569175091,"1"
288.28418122041,64.4459329650272,"1"
168.02185692635,49.9789001175668,"1"
263.578058373462,66.4206204051152,"1"
149.27760627429,51.490323971957,"1"
243.723711414441,55.5801707017235,"1"
182.976299661416,48.5897318855859,"1"
224.364058392479,56.9801443768665,"1"
217.93785173897,58.6396239453461,"1"
246.400385024651,61.5476524387486,"1"
125.258416605703,47.8510339092463,"2"
96.3711647231368,47.3660760140046,"2"
139.470223597415,49.4175307790283,"2"
317.559327281754,69.81075321557,"2"
290.435636691083,67.6328125456348,"2"
218.60325671778,55.0848610338289,"2"
292.929036479653,68.2616641151253,"2"
293.43403256964,64.211505894782,"2"
263.350100677449,65.3671119525097,"2"
343.396593511339,69.945826997282,"2"
251.773212492995,65.3311426041182,"2"
240.885929157615,63.7264257343486,"2"
112.254877935579,48.2768803997897,"2"
142.226292185818,56.3471502321772,"2"
212.984317376833,58.5197814146522,"2"
125.503466969974,47.4142248905264,"2"
189.768144191324,63.4000629174989,"2"
172.299816940663,49.4840431481134,"2"
170.211567136445,48.2899487763643,"2"
234.949370276173,58.0056027090177,"2"
182.873049505562,53.9612242067233,"2"
205.666825915978,53.7980847805738,"2"
284.177661828586,59.7534702438861,"2"
282.309878946255,64.1261219966691,"2"
198.628453022412,60.0194585963618,"2"
